team1_avg_goals,team2_avg_goals,team1_win_rate,team2_win_rate,head_to_head_team1_wins,head_to_head_team2_wins,home_wins,away_wins,home_losses,away_losses,home_matches,away_matches,home_advantage,away_advantage,home_draws,away_draws,home_goals_conceded,away_goals_conceded,home_goals_scored,away_goals_scored,home_goal_diff,away_goal_diff,stage_importance,venue_advantage,outcome
0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,2
0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,2
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,0
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,0
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,2
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,2
0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,2
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,0
0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.5,1.0,1
1.0,3.0,0.0,1.0,0,0,0,1,1,0,1,1,-1.0,1.0,0,0,3,0,1,3,-2,3,0.5,1.0,0
0.0,2.0,0.0,1.0,0,1,0,1,1,0,1,1,-1.0,1.0,0,0,3,1,0,2,-3,1,0.5,1.0,2
1.0,0.0,0.0,0.0,0,1,0,0,1,0,1,1,-1.0,0.0,0,1,5,0,1,0,-4,0,0.5,1.0,2
3.0,5.0,1.0,1.0,1,0,1,1,0,0,1,1,1.0,1.0,0,0,0,1,3,5,3,4,0.5,1.0,1
1.0,0.0,0.0,0.0,1,0,0,0,1,1,1,1,-1.0,-1.0,0,0,2,3,1,0,-1,-3,0.5,1.0,1
0.0,1.0,0.0,0.0,1,0,0,0,0,1,1,1,0.0,-1.0,1,0,0,2,0,1,0,-1,0.5,1.0,1
4.0,1.0,1.0,0.0,1,0,1,0,0,1,1,1,1.0,-1.0,0,0,0,3,4,1,4,-2,0.5,1.0,1
0.0,1.0,0.0,1.0,1,1,0,1,0,0,1,1,0.0,1.0,1,0,0,0,0,1,0,1,0.5,1.0,1
1.0,2.0,0.0,1.0,0,0,0,1,1,0,1,1,-1.0,1.0,0,0,3,0,1,2,-2,2,0.5,1.0,0
0.0,0.0,0.0,0.0,0,1,0,0,1,1,1,1,-1.0,-1.0,0,0,1,4,0,0,-1,-4,0.5,1.0,2
0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0.0,0.0,1,1,0,0,0,0,0,0,0.5,1.0,2
3.0,9.0,1.0,1.0,1,0,1,1,0,0,1,1,1.0,1.0,0,0,0,2,3,9,3,7,0.5,1.0,1
1.0,0.0,0.0,0.0,0,1,0,0,1,1,1,1,-1.0,-1.0,0,0,2,3,1,0,-1,-3,0.5,1.0,2
3.0,0.0,1.0,0.0,1,0,1,0,0,0,1,1,1.0,0.0,0,1,1,0,3,0,2,0,0.5,1.0,1
1.0,3.0,0.0,1.0,0,1,0,1,1,0,1,1,-1.0,1.0,0,0,2,1,1,3,-1,2,0.5,1.0,2
2.0,2.0,1.0,1.0,1,0,1,1,0,0,1,1,1.0,1.0,0,0,1,1,2,2,1,1,0.5,1.0,1
2.0,2.0,0.0,1.0,0,0,0,1,1,0,1,1,-1.0,1.0,0,0,9,1,2,2,-7,1,0.5,1.0,0
0.0,3.0,0.0,1.0,1,0,0,1,1,0,1,1,-1.0,1.0,0,0,2,1,0,3,-2,2,0.5,1.0,1
2.0,0.5,0.5,0.0,1,0,1,0,0,2,2,2,0.5,-1.0,1,0,3,6,4,1,1,-5,0.5,1.0,1
0.5,0.5,0.0,0.5,1,0,0,1,2,1,2,2,-1.0,0.0,0,0,4,3,1,1,-3,-2,0.5,1.0,1
2.0,0.0,1.0,0.0,1,0,2,0,0,1,2,2,1.0,-0.5,0,1,0,2,4,0,4,-2,0.5,1.0,1
1.0,0.5,0.0,0.0,1,0,0,0,2,2,2,2,-1.0,-1.0,0,0,4,9,2,1,-2,-8,0.5,1.0,1
0.5,1.5,0.0,0.5,0,1,0,1,2,0,2,2,-1.0,0.5,0,1,3,1,1,3,-2,2,0.5,1.0,2
0.5,1.0,0.5,0.0,0,0,1,0,1,1,2,2,0.0,-0.5,0,1,2,4,1,2,-1,-2,0.5,1.0,0
1.5,5.0,0.5,1.0,1,1,1,2,1,0,2,2,0.0,1.0,0,0,2,1,3,10,1,9,0.5,1.0,1
1.0,0.0,0.5,0.0,1,0,1,0,0,1,2,2,0.5,-0.5,1,1,0,3,2,0,2,-3,0.5,1.0,1
3.0,1.0,1.0,0.0,0,1,2,0,0,1,2,2,1.0,-0.5,0,1,3,4,6,2,3,-2,0.5,1.0,2
3.0,2.5,1.0,1.0,0,0,2,2,0,0,2,2,1.0,1.0,0,0,1,0,6,5,5,5,0.5,1.0,0
1.5,3.0,0.5,0.5,0,0,1,1,0,1,2,2,0.5,0.0,1,0,0,8,3,6,3,-2,0.5,1.0,0
0.0,2.0,0.0,0.5,0,1,0,1,2,0,2,2,-1.0,0.5,0,1,8,0,0,4,-8,4,0.5,1.0,2
3.0,4.5,0.5,0.5,1,0,1,1,1,1,2,2,0.0,0.0,0,0,2,3,6,9,4,6,0.5,1.0,1
2.0,2.0,0.5,0.5,1,0,1,1,0,0,2,2,0.5,0.5,1,1,0,1,4,4,4,3,0.5,1.0,1
1.5,2.5,0.0,1.0,0,1,0,2,2,0,2,2,-1.0,1.0,0,0,5,1,3,5,-2,4,0.5,1.0,2
1.0,0.5,0.5,0.5,0,1,1,1,1,1,2,2,0.0,0.0,0,0,5,2,2,1,-3,-1,0.5,1.0,2
3.0,1.5,1.0,0.5,0,1,2,1,0,1,2,2,1.0,0.0,0,0,1,6,6,3,5,-3,0.5,1.0,2
0.0,2.0,0.0,0.0,0,1,0,0,2,1,2,2,-1.0,-0.5,0,1,7,11,0,4,-7,-7,0.5,1.0,2
0.3333333333333333,2.0,0.0,0.3333333333333333,0,1,0,1,3,1,3,3,-1.0,0.0,0,1,11,11,1,6,-10,-5,0.5,1.0,2
1.0,1.3333333333333333,0.0,0.3333333333333333,1,0,0,1,1,2,3,3,-0.3333333333333333,-0.3333333333333333,2,0,5,4,3,4,-2,0,0.5,1.0,1
1.6666666666666667,3.0,0.6666666666666666,0.6666666666666666,1,0,2,2,0,0,3,3,0.6666666666666666,0.6666666666666666,1,1,1,0,5,9,4,9,0.5,1.0,1
0.0,3.0,0.0,0.6666666666666666,0,1,0,2,2,0,3,3,-0.6666666666666666,0.6666666666666666,1,1,4,4,0,9,-4,5,0.5,1.0,2
4.0,0.3333333333333333,0.6666666666666666,0.0,1,0,2,0,1,3,3,3,0.3333333333333333,-1.0,0,0,6,5,12,1,6,-4,0.5,1.0,1
2.0,2.0,1.0,0.6666666666666666,1,0,3,2,0,0,3,3,1.0,0.6666666666666666,0,1,1,1,6,6,5,5,0.5,1.0,1
2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3333333333333333,0,1,2,1,1,2,3,3,0.3333333333333333,-0.3333333333333333,0,0,4,5,8,4,4,-1,0.5,1.0,2
2.0,1.0,0.3333333333333333,0.0,1,0,1,0,1,3,3,3,0.0,-1.0,1,0,8,6,6,3,-2,-3,0.5,1.0,1
1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,0,0,2,2,1,1,3,3,0.3333333333333333,0.3333333333333333,0,0,3,4,4,6,1,2,0.5,1.0,0
0.6666666666666666,2.0,0.3333333333333333,1.0,1,1,1,3,2,0,3,3,-0.3333333333333333,1.0,0,0,6,0,2,6,-4,6,0.5,1.0,1
0.0,0.0,0.0,0.0,1,0,0,0,2,3,3,3,-0.6666666666666666,-1.0,1,0,4,9,0,0,-4,-9,0.5,1.0,1
1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,0,1,1,2,1,0,3,3,0.0,0.6666666666666666,1,1,6,2,4,7,-2,5,0.5,1.0,2
1.0,1.0,0.3333333333333333,0.3333333333333333,0,1,1,1,1,0,3,3,0.0,0.3333333333333333,1,2,4,0,3,3,-1,3,0.5,1.0,2
1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,1,0,2,2,0,0,3,3,0.6666666666666666,0.6666666666666666,1,1,0,0,5,3,5,3,0.5,1.0,1
0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0,1,1,1,1,2,3,3,0.0,-0.3333333333333333,1,0,3,8,2,3,-1,-5,0.5,1.0,2
2.0,0.0,0.6666666666666666,0.0,0,1,2,0,1,3,3,3,0.3333333333333333,-1.0,0,0,7,9,6,0,-1,-9,0.5,1.0,2
0.6666666666666666,3.3333333333333335,0.0,0.6666666666666666,0,1,0,2,3,1,3,3,-1.0,0.3333333333333333,0,0,11,3,2,10,-9,7,0.5,1.0,2
3.3333333333333335,2.3333333333333335,0.3333333333333333,0.6666666666666666,1,0,1,2,2,1,3,3,-0.3333333333333333,0.3333333333333333,0,0,7,4,10,7,3,3,0.5,1.0,1
0.5,1.75,0.0,0.5,0,1,0,2,4,2,4,4,-1.0,0.0,0,0,15,6,2,7,-13,1,0.5,1.0,2
1.25,1.25,0.25,0.5,0,1,1,2,2,2,4,4,-0.25,0.0,1,0,8,9,5,5,-3,-4,0.5,1.0,2
2.25,0.75,0.75,0.5,0,1,3,2,0,1,4,4,0.75,0.25,1,1,2,1,9,3,7,2,0.5,1.0,2
0.25,1.25,0.0,0.5,0,1,0,2,4,0,4,4,-1.0,0.5,0,2,11,0,1,5,-10,5,0.5,1.0,2
2.75,0.75,0.5,0.25,1,0,2,1,2,2,4,4,0.0,-0.25,0,1,7,5,11,3,4,-2,0.5,1.0,1
3.75,2.25,0.75,0.75,1,0,3,3,1,0,4,4,0.5,0.75,0,1,5,3,15,9,10,6,0.5,1.0,1
1.5,1.0,0.75,0.0,1,0,3,0,0,4,4,4,0.75,-1.0,1,0,0,9,6,4,6,-5,0.5,1.0,1
2.5,1.75,0.5,0.5,0,0,2,2,1,2,4,4,0.25,0.0,1,0,4,10,10,7,6,-3,0.5,1.0,0
1.5,0.75,0.5,0.25,1,0,2,1,1,3,4,4,0.25,-0.5,1,0,5,10,6,3,1,-7,0.5,1.0,1
0.25,1.0,0.0,0.25,1,0,0,1,4,3,4,4,-1.0,-0.5,0,0,6,8,1,4,-5,-4,0.5,1.0,1
1.0,0.75,0.0,0.25,1,0,0,1,4,2,4,4,-1.0,-0.25,0,1,16,6,4,3,-12,-3,0.5,1.0,1
2.5,1.75,0.75,0.5,0,2,3,2,0,2,4,4,0.75,0.0,1,0,4,5,10,7,6,2,0.5,1.0,2
1.5,1.75,0.75,0.5,0,0,3,2,1,1,4,4,0.5,0.25,0,1,1,5,6,7,5,2,0.5,1.0,0
0.0,1.25,0.0,0.5,0,1,0,2,3,1,4,4,-0.75,0.25,1,1,5,4,0,5,-5,1,0.5,1.0,2
2.5,2.25,1.0,0.5,1,0,4,2,0,2,4,4,1.0,0.0,0,0,1,7,10,9,9,2,0.5,1.0,1
2.25,0.75,0.5,0.5,0,0,2,2,1,2,4,4,0.25,0.0,1,0,9,6,9,3,0,-3,0.5,1.0,0
2.5,3.25,0.5,0.75,0,1,2,3,1,1,4,4,0.25,0.5,1,0,12,6,10,13,-2,7,0.5,1.0,2
1.75,0.5,0.25,0.25,1,0,1,1,1,2,4,4,0.0,-0.25,2,1,5,5,7,2,2,-3,0.5,1.0,1
0.8,2.4,0.2,1.0,0,1,1,5,4,0,5,5,-0.6000000000000001,1.0,0,0,9,1,4,12,-5,11,0.5,1.0,2
2.0,2.0,0.4,0.4,0,0,2,2,2,1,5,5,0.0,0.2,1,2,15,10,10,10,-5,0,0.5,1.0,0
1.8,2.0,0.6,0.4,1,0,3,2,1,1,5,5,0.39999999999999997,0.2,1,2,6,7,9,10,3,3,0.5,1.0,1
0.8,1.2,0.0,0.6,0,1,0,3,5,1,5,5,-1.0,0.39999999999999997,0,1,10,1,4,6,-6,5,0.5,1.0,2
2.2,1.8,0.6,0.4,0,1,3,2,0,3,5,5,0.6,-0.19999999999999996,2,0,1,9,11,9,10,0,0.5,1.0,2
2.2,1.4,0.6,0.8,1,0,3,4,1,0,5,5,0.39999999999999997,0.8,1,1,5,0,11,7,6,7,0.5,1.0,1
0.8,2.0,0.4,0.6,1,0,2,3,2,1,5,5,0.0,0.39999999999999997,1,1,7,7,4,10,-3,3,0.5,1.0,1
0.8,2.4,0.2,0.6,0,1,1,3,3,2,5,5,-0.39999999999999997,0.19999999999999996,1,0,8,7,4,12,-4,5,0.5,1.0,2
0.6,0.6,0.2,0.2,0,1,1,1,4,3,5,5,-0.6000000000000001,-0.39999999999999997,0,1,15,6,3,3,-12,-3,0.5,1.0,2
2.2,0.8,0.6,0.0,1,0,3,0,2,5,5,5,0.19999999999999996,-1.0,0,0,9,18,11,4,2,-14,0.5,1.0,1
1.4,0.4,0.6,0.2,1,0,3,1,1,4,5,5,0.39999999999999997,-0.6000000000000001,1,0,5,6,7,2,2,-4,0.5,1.0,1
0.8,0.4,0.2,0.0,1,0,1,0,3,5,5,5,-0.39999999999999997,-1.0,1,0,11,17,4,2,-7,-15,0.5,1.0,1
3.2,3.6,0.8,0.8,1,1,4,4,1,1,5,5,0.6000000000000001,0.6000000000000001,0,0,6,5,16,18,10,13,0.5,1.0,2
2.0,1.8,0.6,0.2,1,0,3,1,2,4,5,5,0.19999999999999996,-0.6000000000000001,0,0,8,17,10,9,2,-8,0.5,1.0,1
2.0,0.2,0.6,0.0,0,0,3,0,2,4,5,5,0.19999999999999996,-0.8,0,1,7,7,10,1,3,-6,0.5,1.0,0
1.6,2.4,0.6,0.6,1,0,3,3,1,1,5,5,0.39999999999999997,0.39999999999999997,1,1,2,7,8,12,6,5,0.5,1.0,1
1.4,2.6,0.4,0.4,1,0,2,2,1,1,5,5,0.2,0.2,2,2,5,7,7,13,2,6,0.5,1.0,1
2.0,1.0,0.4,0.2,1,0,2,1,2,3,5,5,0.0,-0.39999999999999997,1,1,13,14,10,5,-3,-9,0.5,1.0,1
2.0,1.2,0.4,0.6,1,0,2,3,2,1,5,5,0.0,0.39999999999999997,1,1,9,3,10,6,1,3,0.5,1.0,1
2.6,0.6,0.6,0.2,1,0,3,1,1,4,5,5,0.39999999999999997,-0.6000000000000001,1,0,4,7,13,3,9,-4,0.5,1.0,1
0.2,3.0,0.0,0.6,1,0,0,3,4,2,5,5,-0.8,0.19999999999999996,1,0,7,9,1,15,-6,6,0.5,1.0,1
